survived,pclass,sex,age,fare,embarked,deck
0,2,male,33.2,15.43,S,
0,3,male,12.7,9.49,Q,
0,3,male,41.0,7.52,S,
0,3,male,26.6,7.35,S,
1,1,female,22.2,120.61,C,
1,1,female,42.6,88.13,C,
0,1,male,19.8,84.49,S,
0,3,male,10.7,4.26,S,
1,3,female,8.8,12.53,C,
0,3,male,36.9,9.65,S,A
0,1,male,12.4,83.23,S,
0,3,male,51.8,13.52,C,
0,3,male,1.9,4.0,S,
1,1,female,51.1,67.95,S,
0,1,female,,45.06,S,
0,1,female,,77.62,S,
0,2,male,21.9,18.16,S,
0,3,male,34.2,4.75,C,
1,2,male,28.5,27.71,S,A
0,2,male,43.3,31.53,S,B
0,3,male,30.5,17.8,S,
1,1,female,31.0,99.24,S,A
1,2,female,24.3,28.46,Q,A
0,2,male,28.3,34.5,S,
1,2,female,33.0,17.1,S,
1,3,female,6.8,4.79,S,
0,1,male,,53.53,S,C
0,3,male,38.7,5.29,S,
0,3,male,31.2,9.1,C,A
0,1,male,26.6,89.87,Q,
0,3,male,29.2,12.66,S,
0,1,female,,57.61,S,
0,1,male,22.0,65.83,C,
0,3,male,18.9,16.96,C,B
0,3,male,31.5,11.68,S,
0,3,male,,9.05,S,
1,2,female,34.3,16.43,,
1,1,female,6.9,23.08,C,C
0,3,male,42.4,13.72,C,
0,2,male,35.1,15.0,S,
0,1,male,32.3,113.13,S,
0,2,male,41.8,30.37,Q,
0,1,male,50.7,53.52,C,
0,3,male,42.2,7.11,Q,
0,2,male,5.1,21.67,C,
0,3,male,12.4,14.68,S,
0,2,male,20.9,32.84,S,
0,3,male,29.3,5.97,S,
0,3,male,35.7,14.94,S,
0,1,male,19.6,53.54,S,
0,3,male,31.4,12.97,C,
1,3,female,19.2,7.91,S,
1,3,female,21.1,16.6,C,
0,3,male,,12.57,S,
0,3,male,17.0,4.0,Q,
0,3,male,11.4,7.52,S,
0,1,male,16.3,51.45,S,C
0,1,male,,73.74,S,
1,1,female,16.7,92.57,S,
0,2,male,63.2,13.63,C,B
0,2,male,,28.64,C,
1,2,male,31.4,18.46,S,
0,3,male,17.8,6.3,S,B
0,2,male,38.1,21.05,S,
1,2,female,21.5,6.57,S,
0,3,male,30.6,6.63,Q,
1,1,female,62.3,46.84,C,
1,3,female,27.8,20.43,S,E
0,1,male,43.9,66.32,C,A
0,3,male,19.9,16.59,S,
0,3,male,,4.0,Q,
1,1,male,52.0,62.73,S,
0,1,male,20.8,121.81,C,B
1,3,female,52.6,8.16,C,
0,3,male,38.2,11.13,S,A
1,3,male,21.7,4.57,C,D
1,3,female,37.2,17.24,S,
0,1,male,41.6,67.0,S,
0,2,female,37.1,27.43,S,
1,1,male,8.6,106.14,Q,
0,3,male,,17.59,C,
1,3,female,25.8,12.66,C,
0,2,male,,38.44,C,
1,1,female,37.1,47.25,S,
0,2,female,31.3,20.33,Q,
1,2,female,11.6,14.59,S,
0,3,male,33.9,19.48,S,B
0,3,male,36.9,14.29,S,
0,3,female,36.3,11.61,C,B
1,2,female,43.1,24.18,C,
1,1,female,39.8,92.33,S,
0,3,male,,27.44,S,B
0,3,male,28.1,14.24,C,E
1,3,female,7.4,6.85,S,
0,3,male,34.6,11.23,C,
1,2,female,31.7,22.23,Q,E
1,3,female,32.5,4.0,S,
0,2,male,12.4,23.6,S,
1,1,female,14.9,46.07,C,
1,1,female,42.7,75.27,C,
0,1,male,28.5,76.41,S,
1,3,female,,12.56,Q,
0,2,male,,24.47,S,
1,3,female,,22.18,S,
0,3,male,41.2,12.14,C,C
0,1,female,22.3,84.04,C,E
0,2,male,30.2,19.26,S,E
0,3,male,23.0,4.75,C,
1,1,female,23.4,63.1,S,
1,1,male,,93.07,S,
0,2,male,31.9,14.49,S,
1,1,female,,34.45,C,
1,3,female,45.3,9.93,S,C
0,3,male,17.4,17.35,S,
0,3,male,26.6,9.63,S,
1,3,male,,4.0,C,
0,3,male,47.8,12.63,S,
1,1,male,31.6,86.83,C,
1,3,female,42.4,7.69,S,
0,3,female,9.7,12.47,S,
0,3,female,32.5,6.62,S,
1,3,female,40.6,13.65,C,
0,2,male,30.1,24.16,Q,D
1,1,male,,80.62,S,
0,1,male,22.3,62.95,S,B
1,2,male,47.3,29.89,S,
0,3,male,58.9,9.83,S,B
0,3,female,24.3,17.1,S,
0,1,male,23.2,81.5,S,
0,3,male,47.9,16.24,S,
0,2,male,49.5,27.11,S,D
1,1,female,,100.33,S,C
1,1,male,23.5,91.23,C,A
0,2,male,25.3,25.28,S,D
0,3,male,11.5,12.85,S,E
0,2,female,17.1,13.83,C,
0,3,male,,13.47,S,E
0,3,female,19.0,6.08,S,A
1,2,female,28.5,42.39,S,
0,3,male,32.0,14.82,S,
0,3,male,49.2,15.55,S,
1,2,female,16.0,21.52,S,
0,2,male,41.8,16.24,Q,
0,2,male,26.2,23.26,S,D
1,2,female,28.4,16.01,S,
0,1,female,37.8,68.75,S,
1,3,female,14.4,8.53,S,B
1,3,female,34.0,14.27,S,
1,1,male,31.2,97.81,C,
0,2,male,35.4,19.49,S,B
1,3,female,32.8,20.32,S,
1,1,male,60.9,145.73,S,
0,1,male,20.7,102.81,S,
1,2,female,22.1,24.71,Q,D
0,3,male,20.9,8.61,S,
1,1,male,21.8,103.29,S,
0,3,male,20.7,10.19,S,
0,3,male,44.5,21.84,Q,
1,1,male,47.5,103.77,S,A
0,3,male,,15.27,S,D
0,2,male,18.2,37.66,C,
0,3,male,35.1,10.27,C,
1,3,female,21.8,4.0,S,
0,3,male,37.2,11.61,S,
1,1,female,31.6,96.44,S,
0,3,male,9.3,5.78,S,
0,2,male,49.1,18.91,S,
0,1,female,52.3,95.82,S,D
0,1,male,21.0,81.23,S,
0,3,female,24.0,12.94,S,
0,3,male,32.7,18.81,S,
1,1,female,33.3,40.93,Q,
0,3,male,37.6,11.47,,D
1,1,female,55.1,86.96,S,A
0,3,male,26.7,22.55,S,C
1,1,female,,42.99,Q,
0,3,male,11.1,18.4,S,
0,2,male,19.5,19.16,S,
0,3,female,28.6,12.82,S,A
0,1,male,,36.48,S,
0,2,male,22.3,33.4,S,
1,1,female,31.9,101.36,S,
0,3,male,28.8,8.09,S,
0,3,male,44.4,6.6,Q,
0,2,male,61.9,15.17,S,
0,3,female,22.1,15.95,S,C
0,3,male,22.6,12.4,C,
0,3,male,42.6,17.4,S,C
1,3,female,37.9,19.13,S,
0,1,female,53.0,67.32,S,
0,1,male,36.6,103.76,S,
0,3,male,24.3,17.07,C,
0,3,male,36.7,13.06,Q,
0,3,male,43.4,20.63,S,
0,2,male,,33.03,S,
1,2,male,35.6,19.98,Q,
1,3,male,42.9,8.93,C,
0,3,male,44.2,12.95,C,
0,3,female,,14.33,S,
0,3,female,,14.43,S,
0,3,female,,13.75,C,
0,1,male,30.9,77.45,S,
0,1,male,44.7,65.82,S,
0,3,female,18.4,7.64,S,C
1,3,female,33.8,7.2,S,
1,1,male,,70.4,S,D
0,1,female,29.4,123.73,S,
0,3,female,45.6,4.0,Q,
1,1,female,,91.44,S,
1,1,female,29.6,50.16,C,
1,3,male,11.3,8.42,S,
0,3,male,38.7,13.68,S,
1,3,female,37.4,9.63,Q,
0,1,female,57.1,92.82,S,
0,3,male,25.0,6.17,S,
0,1,male,,60.94,S,
0,2,male,32.2,25.56,S,
1,3,female,,18.18,C,
1,3,female,27.8,14.13,Q,
0,3,male,32.6,10.3,S,
0,3,male,36.9,4.04,S,
0,3,male,31.4,8.21,S,
1,1,female,23.2,91.07,C,
1,2,female,31.5,23.65,S,A
1,2,female,43.0,18.73,S,
1,1,male,15.7,105.65,S,
0,3,male,30.7,12.86,S,
0,2,male,19.9,41.12,S,
0,3,male,44.5,282.94,C,
1,3,female,,5.09,S,
1,3,female,21.7,8.49,S,
1,3,female,,14.92,C,B
1,3,female,49.4,15.39,C,
0,2,male,28.1,27.38,S,E
1,1,female,21.8,19.21,S,
1,3,female,53.5,11.07,S,
0,2,female,10.2,31.94,S,D
0,1,male,0.5,73.11,S,
0,3,male,34.7,4.0,S,E
0,1,male,22.5,104.4,S,
1,3,female,15.7,8.17,C,
0,3,male,38.2,6.83,S,
0,3,male,32.2,14.62,S,
0,2,female,21.7,27.4,S,
0,1,male,12.4,76.92,Q,
0,3,male,40.3,505.34,C,A
0,2,male,,21.97,C,
0,3,female,,16.06,C,
0,3,male,53.0,8.72,Q,
1,3,female,15.1,4.31,S,
0,2,male,9.2,17.39,S,
0,2,female,20.0,22.57,S,
0,3,male,28.4,16.42,C,
1,2,male,32.2,21.98,C,
1,1,female,25.9,76.85,S,
0,3,male,33.6,24.19,S,
0,3,male,12.7,14.4,S,
0,3,male,47.8,11.13,Q,
1,3,female,27.9,11.15,S,A
0,1,male,,86.14,S,
0,3,female,33.5,443.12,S,E
0,3,male,34.9,12.95,S,
0,1,male,36.4,104.05,C,
0,3,male,34.8,12.76,S,
0,3,male,37.4,11.44,C,C
0,3,male,46.3,15.21,S,
0,3,male,,15.02,S,
0,3,male,38.2,11.15,S,
0,2,female,,24.04,C,
1,2,male,,23.25,S,
0,3,male,20.2,12.39,S,
1,3,female,52.4,9.23,S,
0,3,male,28.5,7.79,Q,E
0,3,male,10.4,14.05,S,
1,3,female,30.7,14.75,C,
1,3,female,20.1,10.2,S,
0,3,male,39.9,9.1,S,
0,3,female,,7.85,S,D
0,3,male,,13.91,S,
0,3,male,,7.98,S,
0,3,male,,23.21,S,
1,2,female,0.5,31.36,S,D
0,2,male,,11.99,Q,B
0,1,male,38.9,79.93,S,
0,3,male,39.2,11.63,C,
0,1,male,34.5,71.0,S,E
0,2,male,16.4,15.19,S,
0,3,male,28.4,7.83,S,
0,2,male,29.0,24.49,S,
0,3,male,13.9,13.64,S,
1,1,male,48.5,47.66,S,
1,1,male,40.4,85.85,S,
0,3,male,26.1,7.84,S,
0,2,male,29.3,24.12,C,
1,1,female,31.7,59.29,C,B
0,3,male,2.5,15.15,S,
1,3,female,25.8,17.75,S,
1,1,male,20.1,87.5,S,
0,3,male,16.0,15.36,S,
0,1,male,25.3,62.94,S,
0,1,female,53.0,67.32,S,
1,1,male,,80.62,S,
0,3,female,22.1,15.95,S,C
